0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,2 chippyville petStarDippy img.jpg :,2 chippyville petStarDippy img.jpg ),0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2 chippyville petStarDippy img.jpg :,2 chippyville petStarDippy img.jpg ),0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1
0,2 chippyville petStarDippy img.jpg :,2 chippyville petStarDippy img.jpg ),0,0,0,1,1,1,1
0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,1,1,1,1
0,0,0,0,1,0,1,1,1,1
0,0,0,1,1,0,0,1,1,1
0,0,1,0,1,0,0,1,1,1
0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2 chippyville petStarDippy img.jpg :,2 chippyville petStarDippy img.jpg ),0,0
